,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-06-29,0,0,0,1,1
1,golang-k8s-helm-helloworld,2023-06-29,2,1,1,0,0
2,golang-rest-api-cassandra,2023-06-29,2,2,1,2,2
3,influx-telegraf-chronograf,2023-06-29,0,0,0,1,1
4,influxdb-telegraf-grafana,2023-06-29,0,0,0,2,2
5,jenkins-pipeline,2023-06-29,1,0,0,1,1
6,jwt,2023-06-29,1,0,0,1,1
7,kustomize-vs-helm,2023-06-29,4,1,1,0,0
8,licence-plate-workshop,2023-06-29,0,10,1,0,0
9,ml-github,2023-06-29,1,0,0,3,2
10,mqtt-golang-influxdb,2023-06-29,14,0,0,1,1
11,quarkus-kotlin-example,2023-06-29,2,1,1,1,1
12,semantic-versioning-cli,2023-06-29,4,0,0,1,1
13,service-mesh-wasm-go,2023-06-29,0,0,0,1,1
14,spring-cloud-ms1,2023-06-29,0,0,0,2,1
15,terraform-ansible-aws,2023-06-29,0,0,0,1,1
16,workshop-golang-grpc,2023-06-29,0,0,0,120,68
17,workshop-keda,2023-06-29,0,10,1,5,2
18,dstrategies-app-deployment,2023-06-29,0,0,0,1,1
19,dstrategies-frontend,2023-06-29,0,0,0,1,1
20,ocp-cluster-setup,2023-06-29,1,0,0,1,1
