,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-06-15,0,0,0,1,1
1,cd-travis-app,2023-06-15,0,0,0,2,1
2,gingonic-go-mongodb,2023-06-15,0,0,0,1,1
3,golang-gin-gonic,2023-06-15,0,0,0,1,1
4,golang-rest-api-cassandra,2023-06-15,2,0,0,17,13
5,ic-gradle,2023-06-15,0,0,0,1,1
6,istio-wasm-filter-golang,2023-06-15,1,1,1,1,1
7,kotlin-ktor,2023-06-15,7,30,1,1,1
8,licence-plate-workshop,2023-06-15,0,1,1,0,0
9,ml-github,2023-06-15,1,0,0,3,2
10,pelorus-workshop,2023-06-15,0,0,0,1,1
11,quarkus-kafka,2023-06-15,1,0,0,1,1
12,semantic-versioning-cli,2023-06-15,4,0,0,3,2
13,spring-cloud-ms1,2023-06-15,0,0,0,1,1
14,spring-cloud-ms2,2023-06-15,0,0,0,1,1
15,spring-kotlin-crud,2023-06-15,7,0,0,1,1
16,workshop-argo-rollouts-doc,2023-06-15,1,0,0,1,1
17,workshop-argo-rollouts-resources,2023-06-15,1,0,0,1,1
18,workshop-golang-grpc,2023-06-15,0,0,0,58,39
19,workshop-keda,2023-06-15,0,0,0,1,1
