,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-azure-eventhub,2023-06-21,0,1,1,1,1
1,golang-rest-api-cassandra,2023-06-21,2,0,0,2,1
2,helm-spring-boot-chart,2023-06-21,1,0,0,2,1
3,ic-gradle,2023-06-21,0,0,0,1,1
4,iot-devices-crud,2023-06-21,0,0,0,2,1
5,iot-esp8266-irrigation-system,2023-06-21,0,0,0,2,1
6,istio-wasm-filter-golang,2023-06-21,1,3,1,0,0
7,jenkins-pipeline,2023-06-21,1,0,0,1,1
8,kotlin-ktor,2023-06-21,7,1,1,2,1
9,library,2023-06-21,0,0,0,2,1
10,licence-plate-workshop,2023-06-21,0,1,1,0,0
11,mqtt-golang-influxdb,2023-06-21,14,4,1,0,0
12,quarkus-kafka,2023-06-21,1,0,0,2,1
13,service-mesh-workshop,2023-06-21,3,0,0,1,1
14,spring-cloud-dataflow,2023-06-21,0,0,0,4,2
15,spring-cloud-eureka,2023-06-21,0,0,0,2,1
16,ta,2023-06-21,3,0,0,2,1
17,workshop-amq-streams,2023-06-21,0,0,0,2,1
18,workshop-golang-grpc,2023-06-21,0,0,0,59,46
19,workshop-redhat-sso,2023-06-21,0,0,0,2,1
20,workshop-tekton-argocd,2023-06-21,0,0,0,2,1
21,workshop-tekton-argocd-app-quarkus,2023-06-21,0,0,0,2,1
22,workshop-tekton-argocd-app-quarkus-config,2023-06-21,0,0,0,4,2
23,ocp-cluster-setup,2023-06-21,1,0,0,2,1
