,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,asciidoc-base,2023-04-13,0,3,2,0,0
1,golang-k8s-helm-helloworld,2023-04-13,2,13,2,0,0
2,istio-wasm-filter-golang,2023-04-13,0,5,4,0,0
3,licence-plate-workshop,2023-04-13,0,4,1,2,2
4,ml-github,2023-04-13,1,3,1,4,2
5,mqtt-golang-influxdb,2023-04-13,14,0,0,1,1
6,quarkus-kafka,2023-04-13,1,8,1,0,0
7,quarkus-kotlin-example,2023-04-13,2,9,1,0,0
8,workshop-amq-streams,2023-04-13,0,37,4,0,0
9,workshop-tekton-argocd,2023-04-13,0,38,1,14,4
10,workshop-tekton-argocd-app-quarkus,2023-04-13,0,3,1,1,1
11,workshop-tekton-argocd-app-quarkus-config,2023-04-13,0,4,1,13,5
12,dstrategies-app-deployment,2023-04-13,0,2,1,0,0
13,dstrategies-back,2023-04-13,0,3,1,0,0
14,dstrategies-frontend,2023-04-13,0,5,1,0,0
15,ocp-cluster-setup,2023-04-13,1,5,1,0,0
16,redhat-workshop-deployment-strategies,2023-04-13,1,3,1,0,0
