,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,b0rr3g0-blog,2023-04-30,0,0,0,1,1
1,gingonic-go-mongodb,2023-04-30,0,0,0,1,1
2,golang-azure-eventhub-kafka,2023-04-30,0,0,0,1,1
3,golang-rest-api-cassandra,2023-04-30,2,0,0,76,44
4,iot-devices-crud,2023-04-30,0,0,0,18,16
5,istio-wasm-filter-golang,2023-04-30,1,0,0,1,1
6,kotlin-ktor,2023-04-30,7,1,1,0,0
7,kustomize-vs-helm,2023-04-30,4,0,0,1,1
8,mqtt-golang-influxdb,2023-04-30,14,0,0,60,32
9,ocp-logging,2023-04-30,1,0,0,1,1
10,quarkus-kotlin-example,2023-04-30,2,0,0,1,1
11,semantic-versioning-cli,2023-04-30,4,0,0,1,1
12,service-mesh-workshop,2023-04-30,3,0,0,1,1
13,ta,2023-04-30,3,0,0,18,13
14,workshop-amq-streams,2023-04-30,0,0,0,1,1
15,workshop-golang-grpc,2023-04-30,0,0,0,77,44
16,workshop-keda,2023-04-30,0,0,0,1,1
17,workshop-redhat-sso,2023-04-30,0,0,0,1,1
18,workshop-tekton-argocd,2023-04-30,0,0,0,1,1
19,workshop-tekton-argocd-app-quarkus,2023-04-30,0,0,0,1,1
20,workshop-tekton-argocd-app-quarkus-config,2023-04-30,0,0,0,1,1
