,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2023-03-09,2,0,0,121,77
1,iot-devices-crud,2023-03-09,0,0,0,25,21
2,istio-wasm-filter-golang,2023-03-09,0,4,2,0,0
3,kustomize-vs-helm,2023-03-09,4,9,1,0,0
4,ml-github,2023-03-09,1,12,1,0,0
5,ml-learning,2023-03-09,0,7,1,0,0
6,mqtt-golang-influxdb,2023-03-09,13,0,0,27,23
7,ocp-logging,2023-03-09,1,22,7,1,1
8,quarkus-kafka,2023-03-09,0,7,1,0,0
9,semantic-versioning-cli,2023-03-09,4,8,1,0,0
10,service-mesh-workshop,2023-03-09,3,18,2,7,4
11,ta,2023-03-09,3,20,1,63,53
12,workshop-golang-grpc,2023-03-09,0,0,0,84,63
13,redhat-workshop-deployment-strategies,2023-03-09,1,2,1,0,0
