,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,gingonic-go-mongodb,2023-03-16,0,0,0,1,1
1,ic-gradle,2023-03-16,0,0,0,1,1
2,iot-air-quality,2023-03-16,1,2,1,0,0
3,istio-wasm-filter-golang,2023-03-16,0,2,1,0,0
4,jenkins-pipeline,2023-03-16,1,0,0,1,1
5,library,2023-03-16,0,4,1,0,0
6,ml-github,2023-03-16,1,6,1,6,4
7,mqtt-golang-influxdb,2023-03-16,13,1,1,0,0
8,service-mesh-workshop,2023-03-16,3,1,1,0,0
9,workshop-amq-streams,2023-03-16,0,9,1,0,0
10,dstrategies-app-deployment,2023-03-16,0,0,0,1,1
