,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2024-03-19,0,0,0,1,1
1,golang-rest-api-cassandra,2024-03-19,2,4,1,0,0
2,helm-spring-boot-chart,2024-03-19,1,3,1,1,1
3,istio-wasm-filter-golang,2024-03-19,1,3,1,0,0
4,ml-github,2024-03-19,1,0,0,1,1
5,mqtt-golang-influxdb,2024-03-19,15,2,2,0,0
6,workshop-amq-streams,2024-03-19,1,0,0,1,1
7,workshop-keda,2024-03-19,1,0,0,3,3
8,workshop-tekton-argocd,2024-03-19,0,0,0,1,1
9,dstrategies-app-deployment,2024-03-19,0,2,1,0,0
