,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-azure-eventhub-kafka,2023-09-26,0,0,0,1,1
1,golang-rest-api-cassandra,2023-09-26,2,1,1,0,0
2,iot-devices-crud,2023-09-26,0,0,0,18,1
3,iot-esp8266-irrigation-system,2023-09-26,0,7,1,0,0
4,kotlin-ktor,2023-09-26,8,43,1,0,0
5,kustomize-vs-helm,2023-09-26,4,0,0,2,1
6,ml-github,2023-09-26,1,0,0,1,1
7,mqtt-golang-influxdb,2023-09-26,16,0,0,1,1
8,spring-kotlin-crud,2023-09-26,7,0,0,1,1
9,workshop-tekton-argocd,2023-09-26,0,0,0,1,1
10,dstrategies-app-deployment,2023-09-26,0,0,0,1,1
