,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,b0rr3g0-blog,2022-08-02,0,0,0,1,1
1,golang-k8s-helm-helloworld,2022-08-02,2,0,0,2,2
2,golang-rest-api-cassandra,2022-08-02,2,2,2,1,1
3,influxdb-telegraf-grafana,2022-08-02,0,2,2,0,0
4,kotlin-ktor,2022-08-02,6,25,2,0,0
5,kustomize-vs-helm,2022-08-02,3,0,0,2,2
6,ml-github,2022-08-02,1,5,1,6,4
7,ml-learning,2022-08-02,0,15,1,0,0
8,mqtt-golang-influxdb,2022-08-02,12,19,1,1,1
9,ms-helm-chart,2022-08-02,1,3,1,0,0
10,ocp-monitoring-golang,2022-08-02,1,0,0,1,1
11,pelorus-workshop,2022-08-02,0,0,0,1,1
12,service-mesh-wasm-go,2022-08-02,0,0,0,1,1
13,ta,2022-08-02,3,0,0,1,1
