,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2023-10-24,2,0,0,1,1
1,kotlin-ktor,2023-10-24,8,16,2,0,0
2,mqtt-golang-influxdb,2023-10-24,16,0,0,1,1
3,quarkus-kafka,2023-10-24,1,1,1,0,0
4,workshop-cdc,2023-10-24,0,66,4,77,4
5,workshop-golang-grpc,2023-10-24,0,0,0,2,2
6,workshop-keda,2023-10-24,1,40,1,0,0
7,dstrategies-back,2023-10-24,0,1,1,0,0
8,dstrategies-frontend,2023-10-24,0,1,1,0,0
9,redhat-workshop-deployment-strategies,2023-10-24,2,1,1,0,0
