,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-10-03,0,1,1,0,0
1,influxdb-telegraf-grafana,2023-10-03,0,0,0,1,1
2,jenkins-pipeline,2023-10-03,1,0,0,2,1
3,jwt,2023-10-03,1,0,0,1,1
4,kotlin-ktor,2023-10-03,8,1,1,0,0
5,ml-github,2023-10-03,1,0,0,3,2
6,quarkus-kafka,2023-10-03,1,33,2,0,0
7,spring-cloud-dataflow,2023-10-03,0,0,0,1,1
8,workshop-amq-streams,2023-10-03,1,12,4,1,1
9,workshop-golang-grpc,2023-10-03,0,0,0,1,1
10,workshop-keda,2023-10-03,0,0,0,2,2
