,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2022-11-10,0,0,0,1,1
1,asciidoc-base,2022-11-10,0,0,0,1,1
2,b0rr3g0-blog,2022-11-10,0,0,0,1,1
3,golang-k8s-helm-helloworld,2022-11-10,2,0,0,1,1
4,golang-rest-api-cassandra,2022-11-10,2,11,5,1,1
5,iot-devices-crud,2022-11-10,0,6,2,1,1
6,jenkins-ci,2022-11-10,3,0,0,1,1
7,kops-aws,2022-11-10,4,0,0,1,1
8,kotlin-ktor,2022-11-10,7,17,1,0,0
9,kustomize-vs-helm,2022-11-10,4,0,0,1,1
10,ml-learning,2022-11-10,0,0,0,1,1
11,ocp-HTPasswd-file-provider,2022-11-10,0,0,0,1,1
12,quarkus-kotlin-example,2022-11-10,2,17,2,0,0
13,service-mesh-wasm-go,2022-11-10,0,0,0,1,1
14,service-mesh-workshop,2022-11-10,2,0,0,1,1
15,spring-cloud-ms2,2022-11-10,0,0,0,1,1
16,ta,2022-11-10,3,0,0,1,1
