,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,dbgjerez,2022-11-06,0,0,0,1,1
1,golang-azure-eventhub,2022-11-06,0,0,0,1,1
2,golang-k8s-helm-helloworld,2022-11-06,2,2,1,0,0
3,golang-rest-api-cassandra,2022-11-06,2,21,2,18,18
4,helm-spring-boot-chart,2022-11-06,1,0,0,1,1
5,iot-devices-crud,2022-11-06,0,0,0,17,16
6,iot-esp8266-irrigation-system,2022-11-06,0,0,0,1,1
7,mqtt-golang-influxdb,2022-11-06,13,0,0,17,14
8,quarkus-kotlin-example,2022-11-06,2,0,0,1,1
9,spring-cloud-eureka,2022-11-06,0,0,0,1,1
10,ta,2022-11-06,3,0,0,17,14
11,workshop-uca-aws-deploy,2022-11-06,0,0,0,1,1
