,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2022-11-16,2,10,2,0,0
1,ic-gradle,2022-11-16,0,0,0,1,1
2,jenkins-ci,2022-11-16,3,0,0,1,1
3,jenkins-pipeline,2022-11-16,1,0,0,1,1
4,kotlin-ktor,2022-11-16,6,4,1,0,0
5,library,2022-11-16,0,0,0,1,1
6,ml-github,2022-11-16,1,0,0,3,2
7,mqtt-golang-influxdb,2022-11-16,13,15,1,0,0
8,semantic-versioning-cli,2022-11-16,0,120,1,8,6
9,service-mesh-workshop,2022-11-16,2,1,1,0,0
10,spring-boot-elk,2022-11-16,0,0,0,1,1
11,spring-kotlin-crud,2022-11-16,6,0,0,1,1
12,ta,2022-11-16,3,4,1,0,0
13,workshop-uca-aws-deploy,2022-11-16,0,0,0,1,1
