,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,asciidoc-base,2022-10-15,0,2,1,0,0
1,golang-rest-api-cassandra,2022-10-15,2,0,0,77,41
2,iot-devices-crud,2022-10-15,0,0,0,62,35
3,jenkins-ci,2022-10-15,3,0,0,1,1
4,kotlin-ktor,2022-10-15,6,4,1,0,0
5,kustomize-vs-helm,2022-10-15,4,2,1,0,0
6,ml-github,2022-10-15,1,0,0,4,3
7,mqtt-golang-influxdb,2022-10-15,12,2,2,60,31
8,quarkus-kotlin-example,2022-10-15,2,1,1,0,0
9,service-mesh-workshop,2022-10-15,1,4,1,1,1
10,spring-kotlin-crud,2022-10-15,6,6,1,0,0
11,ta,2022-10-15,3,2,1,59,33
