,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2023-01-13,0,0,0,1,1
1,golang-azure-eventhub,2023-01-13,0,12,1,0,0
2,golang-azure-eventhub-kafka,2023-01-13,0,1,1,0,0
3,golang-gin-gonic,2023-01-13,0,0,0,1,1
4,golang-rest-api-cassandra,2023-01-13,2,1,1,20,18
5,iot-devices-crud,2023-01-13,0,2,1,59,34
6,istio-wasm-filter-golang,2023-01-13,0,5,1,0,0
7,kotlin-ktor,2023-01-13,7,11,2,1,1
8,mqtt-golang-influxdb,2023-01-13,13,1,1,58,37
9,semantic-versioning-cli,2023-01-13,2,8,1,0,0
10,service-mesh-workshop,2023-01-13,2,29,1,2,2
11,spring-cloud-ms1,2023-01-13,0,0,0,1,1
12,spring-kotlin-crud,2023-01-13,6,12,1,0,0
13,dstrategies-app-deployment,2023-01-13,0,10,2,0,0
14,redhat-workshop-deployment-strategies,2023-01-13,0,4,1,0,0
