,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2023-01-18,2,0,0,59,39
1,iot-devices-crud,2023-01-18,0,0,0,30,23
2,iot-esp8266-irrigation-system,2023-01-18,0,0,0,1,1
3,istio-wasm-filter-golang,2023-01-18,0,0,0,1,1
4,kotlin-ktor,2023-01-18,7,25,2,0,0
5,library,2023-01-18,0,0,0,1,1
6,mqtt-golang-influxdb,2023-01-18,13,0,0,59,31
7,ms-helm-chart,2023-01-18,1,0,0,1,1
8,service-mesh-workshop,2023-01-18,2,5,2,1,1
9,spring-kotlin-crud,2023-01-18,6,9,2,0,0
10,ta,2023-01-18,3,0,0,59,43
11,dstrategies-app-deployment,2023-01-18,0,1,1,0,0
12,ocp-cluster-setup,2023-01-18,1,1,1,0,0
