,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,rhbk-workshop,2023-12-26,0,2,1,0,0
1,cd-travis-app,2023-12-26,0,0,0,1,1
2,istio-wasm-filter-golang,2023-12-26,1,3,1,0,0
3,jenkins-ci,2023-12-26,3,0,0,1,1
4,jwt,2023-12-26,1,0,0,1,1
5,ml-github,2023-12-26,1,0,0,2,1
6,quarkus-kafka,2023-12-26,1,37,1,0,0
7,ta,2023-12-26,3,0,0,1,1
8,workshop-cdc,2023-12-26,3,0,0,1,1
9,workshop-golang-grpc,2023-12-26,0,0,0,1,1
10,workshop-rhbk,2023-12-26,0,2,1,7,3
11,spring-cloud-config,2023-12-26,0,0,0,1,1
