,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-07-28,0,0,0,2,1
1,ansible-bootstrap-workstation,2023-07-28,0,0,0,2,1
2,asciidoc-base,2023-07-28,0,0,0,2,1
3,b0rr3g0-blog,2023-07-28,0,0,0,3,2
4,cd-travis-app,2023-07-28,0,0,0,2,1
5,dbgjerez,2023-07-28,0,0,0,2,1
6,gingonic-go-mongodb,2023-07-28,0,0,0,2,1
7,golang-azure-eventhub,2023-07-28,0,0,0,3,2
8,golang-azure-eventhub-kafka,2023-07-28,0,0,0,2,1
9,golang-gin-gonic,2023-07-28,0,0,0,2,1
10,golang-k8s-helm-helloworld,2023-07-28,2,0,0,2,1
11,golang-rest-api-cassandra,2023-07-28,2,0,0,4,2
12,helm-spring-boot-chart,2023-07-28,1,0,0,2,1
13,ic-gradle,2023-07-28,0,0,0,2,1
14,influxdb-telegraf-grafana,2023-07-28,0,0,0,2,1
15,iot-air-quality,2023-07-28,1,0,0,2,1
16,iot-devices-crud,2023-07-28,0,0,0,77,48
17,iot-esp8266-dht11,2023-07-28,0,0,0,3,2
18,iot-esp8266-irrigation-system,2023-07-28,0,0,0,3,2
19,iot-esp8266-relay-web-server,2023-07-28,0,0,0,3,2
20,iot-k8s-stack,2023-07-28,1,0,0,2,1
21,istio-wasm-filter-golang,2023-07-28,1,0,0,3,2
22,jenkins-ci,2023-07-28,3,0,0,3,2
23,jenkins-pipeline,2023-07-28,1,0,0,2,1
24,jwt,2023-07-28,1,0,0,3,2
25,kops-aws,2023-07-28,4,0,0,2,1
26,kotlin-ktor,2023-07-28,7,5,1,2,1
27,kustomize-vs-helm,2023-07-28,4,0,0,2,1
28,library,2023-07-28,0,0,0,2,1
29,ml-github,2023-07-28,1,0,0,3,2
30,ml-learning,2023-07-28,0,0,0,2,1
31,mqtt-golang-influxdb,2023-07-28,15,0,0,4,2
32,ms-helm-chart,2023-07-28,1,0,0,2,1
33,ocp-HTPasswd-file-provider,2023-07-28,0,0,0,2,1
34,ocp-logging,2023-07-28,1,0,0,2,1
35,ocp-monitoring-golang,2023-07-28,1,0,0,2,1
36,pelorus-workshop,2023-07-28,0,0,0,2,1
37,quarkus-kafka,2023-07-28,1,0,0,2,1
38,quarkus-kotlin-example,2023-07-28,2,0,0,2,1
39,REST-Services-MySQL,2023-07-28,0,0,0,2,1
40,semantic-versioning-cli,2023-07-28,4,0,0,2,1
41,service-mesh-wasm-go,2023-07-28,0,0,0,2,1
42,service-mesh-workshop,2023-07-28,3,0,0,3,2
43,spring-boot-grafana,2023-07-28,0,0,0,3,2
44,spring-cloud-dataflow,2023-07-28,0,0,0,3,2
45,spring-cloud-eureka,2023-07-28,0,0,0,3,2
46,spring-cloud-ms1,2023-07-28,0,0,0,6,3
47,spring-cloud-ms2,2023-07-28,0,0,0,2,1
48,spring-kotlin-crud,2023-07-28,7,0,0,2,1
49,ta,2023-07-28,3,0,0,2,1
50,terraform-ansible-aws,2023-07-28,0,0,0,2,1
51,uca-workshop-docker,2023-07-28,0,0,0,2,1
52,workshop-amq-streams,2023-07-28,0,0,0,4,2
53,workshop-argo-rollouts-resources,2023-07-28,1,0,0,2,1
54,workshop-golang-grpc,2023-07-28,0,0,0,2,1
55,workshop-keda,2023-07-28,0,1,1,4,2
56,workshop-redhat-sso,2023-07-28,0,0,0,2,1
57,workshop-tekton-argocd,2023-07-28,0,0,0,4,2
58,workshop-tekton-argocd-app-quarkus,2023-07-28,0,0,0,4,2
59,workshop-tekton-argocd-app-quarkus-config,2023-07-28,0,0,0,4,2
60,workshop-uca-aws-deploy,2023-07-28,0,0,0,2,1
61,spring-cloud,2023-07-28,0,0,0,1,1
62,spring-cloud-config,2023-07-28,0,0,0,1,1
63,dstrategies-app-deployment,2023-07-28,0,0,0,2,1
64,dstrategies-frontend,2023-07-28,0,0,0,2,1
65,ocp-cluster-setup,2023-07-28,1,0,0,2,1
66,redhat-workshop-deployment-strategies,2023-07-28,2,23,1,1,1
67,ProyectoEncuesta,2023-07-28,0,0,0,2,1
