,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2023-02-18,2,0,0,28,24
1,istio-wasm-filter-golang,2023-02-18,0,2,2,0,0
2,mqtt-golang-influxdb,2023-02-18,13,1,1,0,0
3,redhat-workshop-base,2023-02-18,0,0,0,1,1
4,semantic-versioning-cli,2023-02-18,4,2,1,0,0
5,service-mesh-workshop,2023-02-18,3,8,1,1,1
6,spring-kotlin-crud,2023-02-18,6,0,0,1,1
7,uca-workshop-docker,2023-02-18,0,0,0,1,1
8,workshop-argo-rollouts-doc,2023-02-18,1,0,0,1,1
9,workshop-argo-rollouts-resources,2023-02-18,1,0,0,1,1
10,workshop-golang-grpc,2023-02-18,0,4,1,40,33
11,workshop-redhat-sso,2023-02-18,0,0,0,1,1
