,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,gingonic-go-mongodb,2023-02-23,0,0,0,1,1
1,golang-azure-eventhub-kafka,2023-02-23,0,1,1,0,0
2,golang-rest-api-cassandra,2023-02-23,2,0,0,2,2
3,iot-air-quality,2023-02-23,1,0,0,1,1
4,iot-devices-crud,2023-02-23,0,0,0,1,1
5,jenkins-ci,2023-02-23,3,0,0,2,2
6,jwt,2023-02-23,1,0,0,1,1
7,ml-github,2023-02-23,1,0,0,2,1
8,mqtt-golang-influxdb,2023-02-23,13,1,1,0,0
9,quarkus-kotlin-example,2023-02-23,2,0,0,2,2
10,workshop-golang-grpc,2023-02-23,0,34,13,67,44
11,workshop-redhat-sso,2023-02-23,0,2,1,0,0
