,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,gingonic-go-mongodb,2023-02-15,0,0,0,2,1
1,golang-azure-eventhub,2023-02-15,0,0,0,2,1
2,golang-azure-eventhub-kafka,2023-02-15,0,0,0,2,1
3,golang-gin-gonic,2023-02-15,0,0,0,1,1
4,golang-k8s-helm-helloworld,2023-02-15,2,0,0,2,1
5,golang-rest-api-cassandra,2023-02-15,2,0,0,2,1
6,helm-spring-boot-chart,2023-02-15,1,0,0,1,1
7,iot-devices-crud,2023-02-15,0,0,0,4,2
8,istio-wasm-filter-golang,2023-02-15,0,3,1,2,1
9,kotlin-ktor,2023-02-15,7,1,1,0,0
10,kubernetes-golang-operator,2023-02-15,0,0,0,2,1
11,kustomize-vs-helm,2023-02-15,4,10,1,0,0
12,mqtt-golang-influxdb,2023-02-15,13,0,0,2,1
13,quarkus-kafka,2023-02-15,0,1,1,0,0
14,semantic-versioning-cli,2023-02-15,4,0,0,3,2
15,service-mesh-wasm-go,2023-02-15,0,0,0,2,1
16,service-mesh-workshop,2023-02-15,3,27,2,10,3
17,spring-cloud-ms1,2023-02-15,0,0,0,8,2
18,ta,2023-02-15,3,0,0,2,1
19,workshop-golang-grpc,2023-02-15,0,1,1,168,94
20,ocp-cluster-setup,2023-02-15,0,15,1,0,0
