,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-rest-api-cassandra,2023-02-17,2,0,0,1,1
1,iot-devices-crud,2023-02-17,0,0,0,1,1
2,iot-esp8266-irrigation-system,2023-02-17,0,0,0,1,1
3,istio-wasm-filter-golang,2023-02-17,0,2,1,0,0
4,kotlin-ktor,2023-02-17,7,1,1,0,0
5,kubernetes-helm-operator,2023-02-17,0,0,0,1,1
6,kustomize-vs-helm,2023-02-17,4,3,2,0,0
7,mqtt-golang-influxdb,2023-02-17,13,8,1,1,1
8,ms-helm-chart,2023-02-17,1,0,0,2,2
9,ocp-HTPasswd-file-provider,2023-02-17,0,0,0,1,1
10,ocp-monitoring-golang,2023-02-17,1,0,0,1,1
11,petclinic-config,2023-02-17,0,0,0,1,1
12,service-mesh-wasm-go,2023-02-17,0,0,0,1,1
13,service-mesh-workshop,2023-02-17,3,0,0,3,3
14,spring-cloud-ms1,2023-02-17,0,0,0,6,2
15,workshop-golang-grpc,2023-02-17,0,0,0,132,76
16,workshop-redhat-sso,2023-02-17,0,6,2,0,0
17,workshop-service-mesh-doc,2023-02-17,0,0,0,1,1
18,redhat-workshop-deployment-strategies,2023-02-17,0,5,1,0,0
