,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,rhbk-workshop,2023-11-30,0,7,2,9,5
1,amq-streams-workshop,2023-11-30,0,11,1,0,0
2,cd-travis-app,2023-11-30,0,0,0,1,1
3,gingonic-go-mongodb,2023-11-30,0,0,0,1,1
4,golang-azure-eventhub,2023-11-30,0,0,0,1,1
5,golang-k8s-helm-helloworld,2023-11-30,2,0,0,1,1
6,golang-rest-api-cassandra,2023-11-30,2,0,0,1,1
7,helm-spring-boot-chart,2023-11-30,1,0,0,2,1
8,iot-air-quality,2023-11-30,1,0,0,1,1
9,istio-wasm-filter-golang,2023-11-30,1,0,0,1,1
10,jenkins-pipeline,2023-11-30,1,0,0,1,1
11,kotlin-ktor,2023-11-30,8,5,2,0,0
12,ml-github,2023-11-30,1,0,0,2,1
13,ms-helm-chart,2023-11-30,1,0,0,1,1
14,ocp-logging,2023-11-30,1,1,1,0,0
15,quarkus-kafka,2023-11-30,1,0,0,1,1
16,workshop-amq-streams,2023-11-30,1,2,1,0,0
17,workshop-cdc,2023-11-30,3,189,13,6,5
18,redhat-workshop-deployment-strategies,2023-11-30,2,0,0,1,1
