,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-k8s-helm-helloworld,2022-09-17,2,1,1,0,0
1,golang-rest-api-cassandra,2022-09-17,2,0,0,34,28
2,influxdb-telegraf-grafana,2022-09-17,0,1,1,0,0
3,iot-devices-crud,2022-09-17,0,0,0,17,11
4,istio-wasm-filter-golang,2022-09-17,0,2,1,0,0
5,jenkins-pipeline,2022-09-17,1,2,1,0,0
6,kustomize-vs-helm,2022-09-17,4,1,1,0,0
7,mqtt-golang-influxdb,2022-09-17,12,0,0,1,1
8,ocp-monitoring-golang,2022-09-17,1,1,1,0,0
9,pelorus-workshop,2022-09-17,0,1,1,0,0
10,ta,2022-09-17,3,0,0,17,15
11,workshop-uca-aws-deploy,2022-09-17,0,0,0,1,1
