,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-k8s-helm-helloworld,2022-09-18,2,1,1,1,1
1,influx-telegraf-chronograf,2022-09-18,0,0,0,1,1
2,iot-k8s-stack,2022-09-18,1,0,0,1,1
3,istio-wasm-filter-golang,2022-09-18,0,1,1,0,0
4,kotlin-ktor,2022-09-18,6,32,4,0,0
5,kustomize-vs-helm,2022-09-18,4,1,1,0,0
6,mqtt-golang-influxdb,2022-09-18,12,8,1,1,1
7,ms-helm-chart,2022-09-18,1,0,0,1,1
8,ocp-monitoring-golang,2022-09-18,1,1,1,0,0
9,pelorus-workshop,2022-09-18,0,1,1,0,0
10,ta,2022-09-18,3,0,0,105,53
