,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-azure-eventhub,2022-07-12,0,0,0,1,1
1,golang-azure-eventhub-kafka,2022-07-12,0,0,0,1,1
2,golang-rest-api-cassandra,2022-07-12,2,0,0,52,34
3,iot-devices-crud,2022-07-12,0,0,0,10,8
4,kustomize-vs-helm,2022-07-12,3,17,2,0,0
5,ml-github,2022-07-12,0,1,1,1,1
6,mqtt-golang-influxdb,2022-07-12,9,2,2,32,19
7,service-mesh-wasm-go,2022-07-12,0,0,0,1,1
8,spring-kotlin-crud,2022-07-12,6,2,2,0,0
9,ta,2022-07-12,3,0,0,39,25
10,workshop-uca-aws-deploy,2022-07-12,0,0,0,2,1
