,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,b0rr3g0-blog,2022-07-18,0,0,0,1,1
1,golang-k8s-helm-helloworld,2022-07-18,2,8,2,0,0
2,influxdb-telegraf-grafana,2022-07-18,0,0,0,1,1
3,iot-esp8266-relay-web-server,2022-07-18,0,0,0,1,1
4,istio-wasm-filter-golang,2022-07-18,0,2,2,0,0
5,jenkins-pipeline,2022-07-18,1,1,1,0,0
6,kotlin-ktor,2022-07-18,5,15,1,0,0
7,ml-github,2022-07-18,1,9,1,13,5
8,mqtt-golang-influxdb,2022-07-18,10,6,2,0,0
9,ocp-monitoring-golang,2022-07-18,1,10,5,0,0
10,quarkus-kotlin-example,2022-07-18,2,21,1,0,0
