,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2024-01-12,0,0,0,1,1
1,dbgjerez,2024-01-12,0,0,0,1,1
2,golang-gin-gonic,2024-01-12,0,0,0,1,1
3,golang-rest-api-cassandra,2024-01-12,2,5,1,0,0
4,ic-gradle,2024-01-12,0,0,0,1,1
5,iot-devices-crud,2024-01-12,0,1,1,0,0
6,iot-esp8266-irrigation-system,2024-01-12,0,0,0,1,1
7,iot-k8s-stack,2024-01-12,1,0,0,2,2
8,jenkins-ci,2024-01-12,3,0,0,1,1
9,jenkins-pipeline,2024-01-12,1,0,0,2,2
10,kotlin-ktor,2024-01-12,8,25,1,0,0
11,kustomize-vs-helm,2024-01-12,4,6,3,1,1
12,library,2024-01-12,0,0,0,1,1
13,ml-github,2024-01-12,1,0,0,1,1
14,mqtt-golang-influxdb,2024-01-12,15,0,0,1,1
15,ocp-logging,2024-01-12,1,0,0,1,1
16,quarkus-kafka,2024-01-12,1,0,0,1,1
17,quarkus-kotlin-example,2024-01-12,2,2,1,1,1
18,REST-Services-MySQL,2024-01-12,0,0,0,1,1
19,service-mesh-wasm-go,2024-01-12,0,0,0,1,1
20,spring-boot-grafana,2024-01-12,0,0,0,1,1
21,spring-cloud-eureka,2024-01-12,0,0,0,1,1
22,spring-cloud-ms2,2024-01-12,0,0,0,2,2
23,terraform-ansible-aws,2024-01-12,0,0,0,1,1
24,uca-workshop-docker,2024-01-12,0,0,0,2,1
25,workshop-amq-streams,2024-01-12,1,0,0,2,2
26,workshop-argo-rollouts-resources,2024-01-12,1,0,0,1,1
27,workshop-argocd,2024-01-12,0,0,0,1,1
28,workshop-cdc,2024-01-12,3,1,1,1,1
29,workshop-redhat-sso,2024-01-12,0,0,0,1,1
30,ocp-cluster-setup,2024-01-12,1,0,0,1,1
31,ProyectoEncuesta,2024-01-12,0,0,0,1,1
