,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,rhbk-workshop,2024-01-31,1,5,2,0,0
1,b0rr3g0-blog,2024-01-31,0,0,0,1,1
2,dbgjerez,2024-01-31,0,0,0,1,1
3,golang-k8s-helm-helloworld,2024-01-31,2,1,1,0,0
4,iot-esp8266-dht11,2024-01-31,0,0,0,1,1
5,istio-wasm-filter-golang,2024-01-31,1,0,0,1,1
6,jwt,2024-01-31,1,0,0,2,1
7,ocp-logging,2024-01-31,1,1,1,0,0
8,service-mesh-workshop,2024-01-31,3,0,0,1,1
9,spring-kotlin-crud,2024-01-31,7,40,1,0,0
10,uca-workshop-docker,2024-01-31,0,1,1,0,0
11,workshop-argo-rollouts-doc,2024-01-31,1,0,0,1,1
12,workshop-cdc,2024-01-31,4,3,2,0,0
