,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,cd-travis-app,2022-12-07,0,0,0,2,1
1,dbgjerez,2022-12-07,0,0,0,2,1
2,golang-azure-eventhub-kafka,2022-12-07,0,0,0,2,1
3,golang-rest-api-cassandra,2022-12-07,2,0,0,31,22
4,iot-esp8266-relay-web-server,2022-12-07,0,0,0,2,1
5,iot-k8s-stack,2022-12-07,1,0,0,2,1
6,istio-wasm-filter-golang,2022-12-07,0,2,1,2,1
7,jenkins-pipeline,2022-12-07,1,0,0,2,1
8,kafka-gitops,2022-12-07,0,0,0,2,1
9,kustomize-vs-helm,2022-12-07,4,1,1,2,1
10,ml-github,2022-12-07,1,0,0,2,1
11,mqtt-golang-influxdb,2022-12-07,13,0,0,4,2
12,ocp-HTPasswd-file-provider,2022-12-07,0,0,0,2,1
13,ocp-monitoring-golang,2022-12-07,1,0,0,2,1
14,REST-Services-MySQL,2022-12-07,0,0,0,2,1
15,semantic-versioning-cli,2022-12-07,2,0,0,2,1
16,spring-boot-grafana,2022-12-07,0,0,0,2,1
17,spring-cloud-dataflow,2022-12-07,0,0,0,2,1
18,spring-cloud-ms1,2022-12-07,0,0,0,2,1
19,spring-cloud-ms2,2022-12-07,0,0,0,2,1
20,spring-kotlin-crud,2022-12-07,6,0,0,2,1
21,ta,2022-12-07,3,0,0,31,26
22,uca-workshop-docker,2022-12-07,0,0,0,2,1
23,dstrategies-helm-chart,2022-12-07,0,36,1,15,7
24,ocp-cluster-setup,2022-12-07,0,7,1,0,0
