,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,b0rr3g0-blog,2022-12-15,0,0,0,1,1
1,golang-rest-api-cassandra,2022-12-15,2,0,0,1,1
2,iot-devices-crud,2022-12-15,0,0,0,1,1
3,istio-wasm-filter-golang,2022-12-15,0,1,1,0,0
4,kustomize-vs-helm,2022-12-15,4,1,1,0,0
5,ms-helm-chart,2022-12-15,1,1,1,0,0
6,ocp-monitoring-golang,2022-12-15,1,1,1,0,0
7,quarkus-kafka,2022-12-15,0,9,1,0,0
8,quarkus-kotlin-example,2022-12-15,2,1,1,0,0
9,semantic-versioning-cli,2022-12-15,2,50,1,3,2
10,service-mesh-workshop,2022-12-15,2,3,1,0,0
11,dstrategies-frontend,2022-12-15,0,1,1,0,0
12,dstrategies-helm-chart,2022-12-15,0,8,1,0,0
