,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-05-03,0,9,1,0,0
1,asciidoc-base,2023-05-03,0,0,0,1,1
2,golang-gin-gonic,2023-05-03,0,0,0,1,1
3,golang-k8s-helm-helloworld,2023-05-03,2,4,1,0,0
4,golang-rest-api-cassandra,2023-05-03,2,1,1,119,63
5,iot-devices-crud,2023-05-03,0,0,0,56,38
6,istio-wasm-filter-golang,2023-05-03,1,1,1,0,0
7,jenkins-pipeline,2023-05-03,1,1,1,0,0
8,kotlin-ktor,2023-05-03,7,8,2,1,1
9,ml-github,2023-05-03,1,0,0,3,2
10,mqtt-golang-influxdb,2023-05-03,14,2,1,56,34
11,ocp-HTPasswd-file-provider,2023-05-03,0,6,1,0,0
12,quarkus-kotlin-example,2023-05-03,2,16,1,0,0
13,spring-boot-grafana,2023-05-03,0,0,0,1,1
14,ta,2023-05-03,3,0,0,60,36
15,workshop-amq-streams,2023-05-03,0,7,1,0,0
16,workshop-golang-grpc,2023-05-03,0,0,0,118,62
17,workshop-keda,2023-05-03,0,4,1,65,7
18,workshop-tekton-argocd,2023-05-03,0,3,2,0,0
19,licence-plate-workshop,2023-05-03,0,2,1,0,0
