,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-05-20,0,0,0,4,2
1,ansible-bootstrap-workstation,2023-05-20,0,0,0,2,1
2,asciidoc-base,2023-05-20,0,0,0,2,1
3,cd-travis-app,2023-05-20,0,0,0,2,1
4,golang-rest-api-cassandra,2023-05-20,2,1,1,0,0
5,helm-spring-boot-chart,2023-05-20,1,1,1,0,0
6,influxdb-telegraf-grafana,2023-05-20,0,0,0,2,1
7,iot-devices-crud,2023-05-20,0,1,1,0,0
8,kops-aws,2023-05-20,4,0,0,2,1
9,kotlin-ktor,2023-05-20,7,12,3,0,0
10,licence-plate-workshop,2023-05-20,0,1,1,0,0
11,ml-github,2023-05-20,1,0,0,2,1
12,ml-learning,2023-05-20,0,0,0,4,2
13,mqtt-golang-influxdb,2023-05-20,14,0,0,21,19
14,quarkus-kotlin-example,2023-05-20,2,1,1,0,0
15,service-mesh-wasm-go,2023-05-20,0,0,0,2,1
16,workshop-amq-streams,2023-05-20,0,0,0,2,1
17,workshop-tekton-argocd-app-quarkus,2023-05-20,0,0,0,1,1
18,dstrategies-app-deployment,2023-05-20,0,0,0,4,2
