,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-azure-eventhub,2023-05-23,0,0,0,2,1
1,golang-gin-gonic,2023-05-23,0,0,0,2,1
2,golang-k8s-helm-helloworld,2023-05-23,2,0,0,2,1
3,golang-rest-api-cassandra,2023-05-23,2,1,1,0,0
4,ic-gradle,2023-05-23,0,0,0,2,1
5,iot-esp8266-irrigation-system,2023-05-23,0,0,0,2,1
6,iot-esp8266-relay-web-server,2023-05-23,0,0,0,2,1
7,iot-k8s-stack,2023-05-23,1,0,0,2,1
8,istio-wasm-filter-golang,2023-05-23,1,1,1,0,0
9,jwt,2023-05-23,1,0,0,2,1
10,kotlin-ktor,2023-05-23,7,5,2,0,0
11,kustomize-vs-helm,2023-05-23,4,1,1,2,1
12,library,2023-05-23,0,0,0,2,1
13,licence-plate-workshop,2023-05-23,0,2,1,0,0
14,ml-github,2023-05-23,1,0,0,2,1
15,mqtt-golang-influxdb,2023-05-23,14,24,3,2,1
16,ms-helm-chart,2023-05-23,1,0,0,2,1
17,ocp-HTPasswd-file-provider,2023-05-23,0,0,0,2,1
18,ocp-monitoring-golang,2023-05-23,1,0,0,2,1
19,quarkus-kotlin-example,2023-05-23,2,11,1,0,0
20,spring-boot-grafana,2023-05-23,0,0,0,2,1
21,spring-cloud-dataflow,2023-05-23,0,0,0,2,1
22,spring-cloud-ms1,2023-05-23,0,0,0,2,1
23,spring-cloud-ms2,2023-05-23,0,0,0,2,1
24,ta,2023-05-23,3,0,0,79,57
25,workshop-keda,2023-05-23,0,2,1,1,1
26,workshop-uca-aws-deploy,2023-05-23,0,0,0,2,1
27,spring-cloud,2023-05-23,0,0,0,2,1
28,spring-cloud-config,2023-05-23,0,0,0,2,1
29,dstrategies-back,2023-05-23,0,0,0,2,1
30,redhat-workshop-deployment-strategies,2023-05-23,2,0,0,2,1
