,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2023-05-22,0,0,0,1,1
1,golang-rest-api-cassandra,2023-05-22,2,0,0,2,1
2,iot-devices-crud,2023-05-22,0,0,0,2,1
3,istio-wasm-filter-golang,2023-05-22,1,5,1,0,0
4,jenkins-pipeline,2023-05-22,1,0,0,2,1
5,kotlin-ktor,2023-05-22,7,2,2,0,0
6,kustomize-vs-helm,2023-05-22,4,0,0,1,1
7,licence-plate-workshop,2023-05-22,0,1,1,0,0
8,ml-github,2023-05-22,1,0,0,3,2
9,mqtt-golang-influxdb,2023-05-22,14,2,1,4,2
10,semantic-versioning-cli,2023-05-22,4,0,0,2,1
11,service-mesh-workshop,2023-05-22,3,0,0,1,1
12,ta,2023-05-22,3,0,0,128,76
13,workshop-keda,2023-05-22,0,0,0,1,1
14,dstrategies-app-deployment,2023-05-22,0,0,0,4,2
15,ocp-cluster-setup,2023-05-22,1,0,0,1,1
16,redhat-workshop-deployment-strategies,2023-05-22,2,0,0,1,1
